111,Nursery Production (Under Cover),11
112,Nursery Production (Outdoors),11
113,Turf Growing,11
114,Floriculture Production (Under Cover),11
115,Floriculture Production (Outdoors),11
121,Mushroom Growing,12
122,Vegetable Growing (Under Cover),12
123,Vegetable Growing (Outdoors),12
131,Grape Growing,13
132,Kiwifruit Growing,13
133,Berry Fruit Growing,13
134,Apple and Pear Growing,13
135,Stonefruit Growing,13
136,Citrus Fruit Growing,13
137,Olive Growing,13
139,Other Fruit and Tree Nut Growing,13
141,Sheep Farming (Specialised),14
142,Beef Cattle Farming (Specialised),14
143,Beef Cattle Feedlots (Specialised),14
144,Sheep-Beef Cattle Farming,14
145,Grain-Sheep and Grain-Beef Cattle Farming,14
146,Rice Growing,14
149,Other Grain Growing,14
151,Sugar Cane Growing,15
152,Cotton Growing,15
159,Other Crop Growing n.e.c.,15
160,Dairy Cattle Farming,16
171,Poultry Farming (Meat),17
172,Poultry Farming (Eggs),17
180,Deer Farming,18
191,Horse Farming,19
192,Pig Farming,19
193,Beekeeping,19
199,Other Livestock Farming n.e.c.,19
201,Longline and Rack (Offshore) Aquaculture,20
202,Caged (Offshore) Aquaculture,20
203,Onshore Aquaculture,20
301,Forestry,30
302,Logging,30
411,Rock Lobster and Crab Potting,41
412,Prawn Fishing,41
413,Line Fishing,41
414,"Fish Trawling, Seining and Netting",41
419,Other Fishing,41
420,Hunting and Trapping,42
510,Forestry Support Services,51
521,Cotton Ginning,52
522,Shearing Services,52
529,Other Agriculture and Fishing Support Services,52
600,Coal Mining,60
700,Oil and Gas Extraction,70
801,Iron Ore Mining,80
802,Bauxite Mining,80
803,Copper Ore Mining,80
804,Gold Ore Mining,80
805,Mineral Sand Mining,80
806,Nickel Ore Mining,80
807,Silver-Lead-Zinc Ore Mining,80
809,Other Metal Ore Mining,80
911,Gravel and Sand Quarrying,91
919,Other Construction Material Mining,91
990,Other Non-Metallic Mineral Mining and Quarrying,99
1011,Petroleum Exploration,101
1012,Mineral Exploration,101
1090,Other Mining Support Services,109
1111,Meat Processing,111
1112,Poultry Processing,111
1113,Cured Meat and Smallgoods Manufacturing,111
1120,Seafood Processing,112
1131,Milk and Cream Processing,113
1132,Ice Cream Manufacturing,113
1133,Cheese and Other Dairy Product Manufacturing,113
1140,Fruit and Vegetable Processing,114
1150,Oil and Fat Manufacturing,115
1161,Grain Mill Product Manufacturing,116
1162,"Cereal, Pasta and Baking Mix Manufacturing",116
1171,Bread Manufacturing (Factory-based),117
1172,Cake and Pastry Manufacturing (Factory-based),117
1173,Biscuit Manufacturing (Factory-based),117
1174,Bakery Product Manufacturing (Non-factory-based),117
1181,Sugar Manufacturing,118
1182,Confectionery Manufacturing,118
1191,Potato Crisps and Corn Chips Manufacturing,119
1192,Prepared Animal and Bird Feed Manufacturing,119
1199,Other Food Products Manufacturing n.e.c.,119
1211,"Soft Drink, Cordial and Syrup Manufacturing",121
1212,Beer Manufacturing,121
1213,Spirit Manufacturing,121
1214,Wine and Other Alcoholic Beverage Manufacturing,121
1220,Cigarette and Tobacco Product Manufacturing,122
1311,Wool Scouring,131
1312,Natural Fibre Textile Manufacturing,131
1313,Synthetic Fibre Textile Manufacturing,131
1320,Leather Tanning and Fur Dressing,132
1331,Textile Floor Covering Manufacturing,133
1332,"Rope, Cordage and Twine Manufacturing",133
1333,Cut and Sewn Textile Product Manufacturing,133
1334,Textile Finishing and Other Textile Product Manufacturing,133
1340,Knitted Product Manufacturing,134
1351,Clothing Manufacturing,135
1352,Footwear Manufacturing,135
1411,Log Sawmilling,141
1412,Wood Chipping,141
1413,Timber Resawing and Dressing,141
1491,Prefabricated Wooden Building Manufacturing,149
1492,Wooden Structural Fittings and Components Manufacturing,149
1493,Veneer and Plywood Manufacturing,149
1494,Reconstituted Wood Product Manufacturing,149
1499,Other Wood Product Manufacturing n.e.c.,149
1510,"Pulp, Paper and Paperboard Manufacturing",151
1521,Corrugated Paperboard and Paperboard Container Manufacturing,152
1522,Paper Bag and Sack Manufacturing,152
1523,Paper Stationery Manufacturing,152
1524,Sanitary Paper Product Manufacturing,152
1529,Other Converted Paper Product Manufacturing,152
1611,Printing,161
1612,Printing Support Services,161
1620,Reproduction of Recorded Media,162
1701,Petroleum Refining and Petroleum Fuels Manufacturing,170
1709,Other Petroleum and Coal Product Manufacturing,170
1811,Industrial Gases Manufacturing,181
1812,Basic Organic Chemical Manufacturing,181
1813,Basic Inorganic Chemical Manufacturing,181
1821,Synthetic Resin and Synthetic Rubber Manufacturing,182
1829,Other Basic Polymer Manufacturing,182
1831,Fertiliser Manufacturing,183
1832,Pesticide Manufacturing,183
