Abalone/paua fishing,419
Abattoir operation (except poultry),1111
Abrasive wholesaling (except abrasive cleansers),3339
Abrasives manufacturing,2090
Abrasives mining,990
Accident insurance provision,6322
Accident prevention association operation,9559
Accommodation for the aged operation,8601
Account collection service,7293
Accountants' association operation,9551
Accounting service,6932
Acetaldehyde manufacturing,1812
Acetylene gas manufacturing,1811
Acid wholesaling,3323
"Acid, acetic, manufacturing",1812
"Acid, inorganic, manufacturing n.e.c.",1813
"Acid, organic, manufacturing",1812
"Acoustic tile, panel or board manufacturing (glass or mineral wool)",2090
"Acoustic tile, plaster, manufacturing",2032
Acting and drama school operation,8212
Activated carbon/charcoal manufacturing,1812
Actuarial service,6420
Acupuncture service,8539
Address list publishing (except internet),5414
Adhesive manufacturing,1915
Adhesive paper label manufacturing,1529
Adhesive wholesaling,3323
"Administration, except justice and defence (central government)",7510
Administrative service n.e.c.,7299
Adoption service,8790
Adult day care centre operation,8790
Advertising agency service,6940
Advertising material preparation service,6940
Advertising placement service,6940
Advertising service (except the sale of advertising space in own publication or broadcast),6940
Advertising space selling (on a commission or fee basis),6940
Advocate service,6931
Aerated water wholesaling,3609
Aerial advertising service,6940
Aerial ambulance service,8591
Aerial cable car operation,5010
Aerial crop spraying or dusting,529
Aerial mustering,529
Aerial pest control or baiting,529
Aerial seeding service,529
Aerial surveying service,6922
Aerial topdressing,529
Aerobics instruction,8211
Aerodrome runway construction,3101
Aeronautical equipment wholesaling,3491
Aeronautical research service,6910
Aeroplane rental (without pilot),6619
After-shave lotion manufacturing,1852
Aged care assistance service,8790
Aged care hostel operation,8601
Aggregate quarrying,919
Agricultural chemical wholesaling,3323
Agricultural harvesting equipment manufacturing,2461
Agricultural high school operation (combined primary/secondary school),8023
Agricultural high school operation (except combined primary/secondary school,8022
Agricultural implement manufacturing (except garden tools),2461
Agricultural implement wholesaling,3411
Agricultural land renting or leasing,6712
Agricultural lime manufacturing,2031
Agricultural machinery or equipment manufacturing n.e.c.,2461
Agricultural machinery rental (without operator),6631
Agricultural machinery wholesaling,3411
Agricultural management consulting service,6962
Agricultural or farm machinery and equipment repair and maintenance,9429
Agricultural planting equipment manufacturing,2461
Agricultural research service,6910
Agricultural support service n.e.c.,529
Air compressor manufacturing,2451
"Air conditioner compressor, domestic, manufacturing",2449
Air conditioner repair (automotive),9411
Air conditioner repair and maintenance,9421
Air conditioner retailing,4221
"Air conditioner, automotive, manufacturing",2313
"Air conditioner, domestic, manufacturing",2449
"Air conditioning compressor or parts, commercial or industrial, manufacturing",2452
Air conditioning duct work installation,3233
Air conditioning equipment installation (except motor vehicle air conditioning equipment),3233
"Air conditioning equipment, commercial or industrial, manufacturing (except motor vehicles)",2452
"Air conditioning equipment, electric, wholesaling",3494
"Air conditioning equipment, non-electric, wholesaling",3499
Air freight forwarding service,5292
Air freight transport service,4900
Air passenger transport service,4900
Air traffic control service,5220
Air transport navigation service,5220
Airboat operation,5010
"Aircraft charter, lease or rental, with crew, for freight and/or passengers",4900
Aircraft engine building or repairing,2394
Aircraft manufacturing,2394
Aircraft support service n.e.c.,5220
Aircraft tyre manufacturing,1914
Air-drying timber,1413
Airframe building and repair,2394
Airline food catering service,4513
Airport baggage handling service,5220
Airport bus service,4622
Airport fire service,7713
Airport operation,5220
Airport terminal operation,5220
Alabaster mining,990
Alarm monitoring service,7712
"Alarm system, electric or electronic, wholesaling",3494
"Alcohol, industrial, wholesaling",3323
Alcoholic beverage retailing (for consumption off the premises only),4123
Alcoholic beverage wholesaling,3606
Alcoholics anonymous operation,8790
Alkaline salt manufacturing n.e.c.,1813
All risks insurance provision,6322
All terrain vehicle retailing,3912
Allergy specialist service,8512
Alluvial gold mining,804
Almond growing,139
Alpaca farming,199
Alpaca shearing,522
Alternator manufacturing,2313
Alum mining,990
Alumina manufacturing,2131
Aluminium casting,2132
"Aluminium foil, household, manufacturing",2142
"Aluminium framed door, glazed, manufacturing",2223
Aluminium from scrap recovery,2132
Aluminium hydroxide manufacturing,1813
Aluminium or aluminium alloy wholesaling,3322
Aluminium ore mining,802
"Aluminium rolling, drawing or extruding",2142
Aluminium roofing manufacturing,2223
Aluminium smelting (from alumina),2132
Alunite mining,990
Ambulance converting,2312
Ambulance service,8591
Ammonia gas manufacturing,1811
Ammonium hydroxide manufacturing,1813
"Ammonium nitrate, explosive, manufacturing",1892
Ammonium phosphate manufacturing,1831
Ammonium sulphate manufacturing,1831
Ammunition manufacturing,2299
Ammunition retailing,4241
Ammunition wholesaling,3734
"Amplifier, audio-frequency, manufacturing",2429
Ampoule manufacturing,1841
Amusement activity n.e.c.,9139
Amusement arcade or centre operation,9131
Amusement machine manufacturing,2469
Amusement machine or ride operation (including concession operators),9131
"Amusement machine, coin operated, rental and hiring",6639
Amusement park operation,9131
Anaesthetist service,8512
Analgesic manufacturing,1841
Anhydrous milk fat (butter oil) manufacturing,1133
Animal (including wildlife) welfare association or league operation,9559
Animal and vegetable fertiliser manufacturing,1831
Animal blanket/cover manufacturing,1333
Animal clinic operation,6970
Animal dip manufacturing,1832
"Animal feed, prepared, manufacturing (except uncanned meat or bone meal or protein-enriched skim milk powder)",1192
"Animal food, canned, manufacturing",1192
Animal hospital operation,6970
Animal meat packing and freezing,1111
"Animal oil or fat, unrefined, manufacturing",1111
"Animal oil, refined, manufacturing",1150
Animal pathology service,6970
Animal quarantine station operation,6970
Animal spray manufacturing,1832
Anodising,2293
Anthelmintic manufacturing,1841
Antibacterial manufacturing,1841
Antibiotic manufacturing,1841
Antibody manufacturing,1841
Antifreeze manufacturing,1899
Antigen manufacturing,1841
Antimony ore mining,809
"Antimony, refined, manufacturing",2139
Antique reproduction furniture retailing,4211
Antique retailing,4273
Antitoxin manufacturing,1841
Apartment (except holiday apartment) renting or leasing,6711
Apartment construction,3019
Apiculture,193
Apparel and textile folding and packaging service,7320
Apple growing,134
Appliance domestic repair,9421
"Appliance, electric, retailing",4221
Application hosting,5921
Application service provision,5921
Apprenticeship training program operation,8101
Approved deposit fund (superannuation) operation,6330
Apricot growing,135
Aquaculture support service,529
Aquarium operation,8921
Arbitration court operation,7540
Arboretum operation,8921
Archery equipment manufacturing,2592
Architects' association operation,9551
Architectural aluminium product manufacturing,2223
Architectural metal product manufacturing (except aluminium),2229
Architectural service,6921
Archive operation,6010
Area school operation (combined primary/secondary school),8023
Argon gas manufacturing,1811
Armed forces unit operation (except manufacturing or educational),7600
Armoured car service,7712
Aromatherapy service,8539
Aromatic hydrocarbon manufacturing,1709
Arranging and assembling tours,7220
Arranging home loans for others (on a commission or fee basis),6419
Arrowroot growing,159
Arrowroot manufacturing,1161
Arsine gas manufacturing,1811
Art gallery operation (except retail),8910
Art gallery operation (retail),4279
Art museum operation (except retail),8910
Art print publishing (except internet),5419
Art union operation,9202
Art work rental,6639
Artificial eye manufacturing,2412
Artificial insemination service,529
Artificial joint manufacturing,2412
Artificial limb manufacturing,2412
"Artist, entertainer or other public figures management service",6962
Artists,9002
Artists' supplies retailing,4272
Artists' supplies wholesaling,3739
Asbestos removal service,2922
Asparagus growing (outdoors),123
Asphalt and bituminous material manufacturing (except hot-mix bituminous paving),1709
Asphalt surfacing,3101
Association operation (for promotion of community or sectional interests),9559
Astrology service,9539
Athletics field or stadium operation,9113
Atlas publishing (except internet),5413
Auction service (except real estate),3800
Auctioning livestock,3800
Audio and visual media streaming service,5921
Audio cassette retailing,4242
Audio service (including for meetings and conferences),5522
"Audio tape, pre-recorded, reproduction",1620
Audiology service,8539
Auditing service,6932
Authorising use of copyrighted musical composition,5521
Autoclaved aerated concrete product manufacturing,2034
Auto-electrical garage operation,9411
Automated data processing service,5921
Automatic laundry operation (coin-operated),9531
Automobile association operation,9559
Automobile parking garage or lot operation,9533
Automotive air conditioning retailing,3921
Automotive air conditioning wholesaling,3504
Automotive battery retailing,3921
Automotive battery wholesaling,3504
Automotive body repair,9412
Automotive CNG retailing,4000
Automotive conversion (including non-factory based engine reconditioning services and converting foreign cars from left to right-hand drive),9419
Automotive diesel manufacturing,1701
Automotive electrical component manufacturing (except batteries),2313
"Automotive electrical component, factory reconditioning",2313
Automotive electrical product installation and/or repair,9411
Automotive glass manufacturing,2010
Automotive interior repair,9412
Automotive parts manufacturing n.e.c.,2319
Automotive petroleum refining,1701
Automotive repair garage operation,9419
Automotive reupholstery,9412
Automotive rustproofing and undercoating,9412
Automotive spray painting,9412
Automotive trimming,9412
Automotive wire manufacturing,2313
Auxiliary finance service n.e.c.,6419
Aviary operation,8921
Aviation fuel (Avgas) manufacturing,1701
Avionics equipment repairing n.e.c.,2394
Avocado growing,139
"Awning or blind, metal, manufacturing (including aluminium)",2299
Awning retailing,4211
Awning wholesaling (except textile),3339
"Awning, blind or shutter installation",3239
"Awning, fibreglass, manufacturing",1919
"Awning, textile, manufacturing",1333
"Awning, textile, wholesaling",3711
"Baby food, canned or bottled, manufacturing (except milk based)",1140
Baby napkin hire service,9531
Baby sitting service (except in child care centres or preschools),9539
Baby stroller manufacturing,2399
Back hoe manufacturing,2462
Bacon manufacturing,1113
Bacon wholesaling,3602
Badge manufacturing n.e.c.,2591
"Badge, plastic, manufacturing",1912
"Badge, woven, manufacturing",1334
"Bag or sack, textile or canvas, manufacturing (for packaging)",1333
"Bag or sack, textile, wholesaling",3711
"Bag, leather or leather substitute, manufacturing",1320
"Bag, plastic, manufacturing",1911
"Bag, sack or packet (plastic film or sheeting), manufacturing",1911
Bagel manufacturing (factory based),1171
Baked bean manufacturing,1140
Bakery machinery manufacturing,2469
"Baking mix, prepared, manufacturing",1162
Baking powder manufacturing,1161
"Balcony, metal, manufacturing (except aluminium)",2229
Ball point pen manufacturing,2599
"Balustrade, metal, manufacturing (except aluminium)",2229
Bamboo furniture manufacturing,2519
Bamboo growing,159
Banana growing,139
"Band, steel, manufacturing",2110
Bankers' association operation,9551
Bankruptcy court operation,7540
Bar operation,4520
"Bar, aluminium, manufacturing",2142
"Bar, iron or steel, manufacturing",2110
"Bar, non-ferrous metal, (except aluminium) manufacturing",2149
Barbecue retailing,4221
"Barbecue, solid fuel or gas, manufacturing",2441
Barbed wire manufacturing,2291
Barber shop operation,9511
Barite mining,990
Barley growing,149
Barley malt manufacturing,1161
Barley meal or flour manufacturing,1161
Barrier cream manufacturing,1852
Barrister service,6931
Basic polymer manufacturing n.e.c.,1829
Basketball club operation,9112
Basketball court or stadium operation,9113
"Bath mat, natural rubber, manufacturing",1920
Bath wholesaling,3332
"Bathroom fixture, vitreous china, manufacturing",2029
Bathroom or toilet fitting wholesaling,3332
"Bathroom or toilet fittings, metal, manufacturing",2299
Bathroom/toilet cleaning,7311
"Bathtub, plastic, manufacturing",1912
Battery manufacturing (including motor vehicles),2439
"Battery, dry cell, wholesaling",3494
Bauxite mining,802
Bauxite refining,2131
"Beach seining, fishing",414
"Bead, glass, manufacturing",2010
Bean growing (outdoors; except dry field beans or soybeans),123
"Bean/legume, dried or canned, manufacturing",1140
Bearing manufacturing,2499
Bearing metal wholesaling,3322
Bearing wholesaling,3499
Beauty service,9511
"Bed base, upholstered, manufacturing",2513
Bed linen manufacturing,1333
Bedding plant growing (under cover),111
"Bedroom suite, wooden, manufacturing",2511
